"resource","country","cluster","cluster_rank","tier","location","gw"
"onwind","CZ",3,2,1,10,24.039
"onwind","CZ",2,3,1,11,21.964
"onwind","DE",6,1,4,1,12.232
"onwind","DE",5,2,4,2,1.796
"onwind","DE",4,3,4,3,1.738
"onwind","DE",3,4,4,4,0.055
"onwind","DE",2,5,4,5,0.075
"onwind","DE",6,1,3,6,19.588
"onwind","DE",5,2,3,7,26.119
"onwind","DE",4,3,3,8,32.92
"onwind","DE",3,4,3,9,3.215
"onwind","DE",2,5,3,10,2.708
"onwind","DE",1,6,3,11,0.151
"onwind","DE",6,1,2,12,5.253
"onwind","DE",5,2,2,13,21.117
"onwind","DE",4,3,2,14,36.981
"onwind","DE",3,4,2,15,50.274
"onwind","DE",2,5,2,16,28.858
"onwind","DE",1,6,2,17,10.1
"onwind","DE",6,1,1,18,0.668
"onwind","DE",5,2,1,19,4.627
"onwind","DE",4,3,1,20,6.206
"onwind","DE",3,4,1,21,19.739
"onwind","DE",2,5,1,22,50.105
"onwind","DE",1,6,1,23,82.488
"onwind","DK",1,1,4,1,45.37
"onwind","DK",1,1,3,2,34.684
"onwind","DK",1,1,2,3,0.565
"onwind","EE",1,1,4,1,5.426
"onwind","EE",1,1,3,2,9.06
"onwind","EE",1,1,2,3,57.657
"onwind","EE",1,1,1,4,21.53
"onwind","ES",23,1,4,1,0.428
"onwind","ES",20,2,4,2,0.118
"onwind","ES",16,3,4,3,0.401
"onwind","ES",29,4,4,4,1.929
"onwind","ES",26,5,4,5,0.775
"onwind","ES",25,6,4,6,0.068
"onwind","ES",14,7,4,7,0.055
"onwind","ES",1,8,4,8,0.396
"onwind","ES",24,9,4,9,0.158
"onwind","ES",19,10,4,10,0.043
"onwind","ES",13,11,4,11,0.015
"onwind","ES",15,13,4,12,0.005
"onwind","ES",30,16,4,13,0.132
"onwind","ES",6,17,4,14,0.003
"onwind","ES",4,18,4,15,0.019
"onwind","ES",21,19,4,16,0.039
"onwind","ES",18,22,4,17,0.029
"onwind","ES",3,23,4,18,0.059
"onwind","ES",28,24,4,19,0.126
"onwind","ES",27,27,4,20,0.105
"onwind","ES",23,1,3,21,6.2
"onwind","ES",20,2,3,22,2.651
"onwind","ES",16,3,3,23,2.689
"onwind","ES",29,4,3,24,6.393
"onwind","ES",26,5,3,25,3.205
"onwind","ES",25,6,3,26,1.272
"onwind","ES",14,7,3,27,0.419
"onwind","ES",1,8,3,28,1.816
"onwind","ES",24,9,3,29,1.93
"onwind","ES",19,10,3,30,0.751
"onwind","ES",13,11,3,31,0.573
"onwind","ES",10,12,3,32,0.033
"onwind","ES",15,13,3,33,0.066
"onwind","ES",8,14,3,34,0.141
"onwind","ES",22,15,3,35,0.014
"onwind","ES",30,16,3,36,1.093
"onwind","ES",6,17,3,37,0.248
"onwind","ES",4,18,3,38,0.278
"onwind","ES",21,19,3,39,0.369
"onwind","ES",2,20,3,40,0.015
"onwind","ES",17,21,3,41,0.006
"onwind","ES",18,22,3,42,0.744
"onwind","ES",3,23,3,43,0.572
"onwind","ES",28,24,3,44,1.565
"onwind","ES",9,26,3,45,0.121
"onwind","ES",27,27,3,46,0.703
"onwind","ES",11,28,3,47,0.053
"onwind","ES",5,29,3,48,0.035
"onwind","ES",7,30,3,49,0.028
"onwind","ES",23,1,2,50,7.264
"onwind","ES",20,2,2,51,5.926
"onwind","ES",16,3,2,52,10.718
"onwind","ES",29,4,2,53,14.705
"onwind","ES",26,5,2,54,9.8
"onwind","ES",25,6,2,55,8.244
"onwind","ES",14,7,2,56,1.901
"onwind","ES",1,8,2,57,7.73
"onwind","ES",24,9,2,58,6.701
"onwind","ES",19,10,2,59,8.447
"onwind","ES",13,11,2,60,5.942
"onwind","ES",10,12,2,61,2.131
"onwind","ES",15,13,2,62,4.657
