"resource","rank","countries","max_gw","built_gw","used_pct"
"onwind",1,36,1349.83710814354,246.744399512662,18.2795685512021
"onwind",2,28,910.528784009127,113.147910508952,12.4266154454506
"onwind",3,25,895.201595922718,95.2252107935398,10.6372923403234
"onwind",4,21,772.181157436273,77.6305106963801,10.0534065029665
"onwind",5,17,609.546773680745,72.2768511110235,11.8574741483053
"onwind",6,13,414.869726809627,24.1091313882057,5.81125346831315
"onwind",7,11,301.545759995647,28.7300181745472,9.5275815434984
"onwind",8,10,263.451360664702,9.07958253646733,3.44639804234036
"onwind",9,8,96.58310051597,11.7878878721889,12.2049176400583
"onwind",10,7,107.608463166472,8.10491019365345,7.53185200788069
"onwind",11,7,97.5702332160356,7.61088794920725,7.80041996246495
"onwind",12,6,93.9424812925494,4.69506445911089,4.99780758876256
"onwind",13,6,91.3599236761556,19.8143650885277,21.6882461053315
"onwind",14,6,104.942350272317,5.57877434073552,5.31603716350838
"onwind",15,6,92.6207420548109,3.8113177534505,4.11497216378924
"onwind",16,6,89.6433174239468,5.88603846231491,6.56606496887916
"onwind",17,6,108.060537001476,5.28146472217833,4.88750553044742
"onwind",18,6,74.6262304742937,2.57908233823705,3.45599974947879
"onwind",19,6,93.9989520541462,2.08358066099701,2.2165998827272
"onwind",20,6,86.2465629221388,2.97890577557266,3.45394143794686
"onwind",21,3,51.4988578409203,4.26258337516992,8.2770444896798
"onwind",22,3,66.1467165954965,1.76116355501023,2.66251092367921
"onwind",23,3,50.7274639062743,8.97814609344993,17.6987876035716
"onwind",24,3,43.7769669269992,4.66939466371581,10.6663275039185
"onwind",25,3,45.5915912949569,2.23456903418612,4.90127449101189
"onwind",26,3,49.4892429909383,1.48651337361925,3.00371006663295
"onwind",27,3,22.6732298622797,1.2062349852397,5.32008448979938
"onwind",28,3,47.9640414021783,2.39989287922604,5.00352515982327
"onwind",29,3,54.9581136013633,14.9678913766188,27.2350894086138
"onwind",30,3,50.3219073530629,1.91636545375023,3.80821307170422
"onwind",31,1,3.16496876471797,0.958087530838676,30.2716267382832
"onwind",32,1,1.67064921289444,1.67064921289444,100
"onwind",33,1,3.76934984842758,0.150938960090691,4.00437651478958
"onwind",34,1,4.19449266726932,0.0581088624838279,1.38536092665666
"onwind",35,1,3.91544607299929,0.661250166504395,16.8882460433906
"onwind",36,1,6.46959049590648,0.369406134805066,5.70988434335684
"onwind",37,1,2.83303177041222,2.83303177041222,100
"onwind",38,1,2.7470913908628,0.101610809043007,3.69885069644855
"onwind",39,1,4.3301177960572,4.3301177960572,100
"onwind",40,1,3.17433989012923,3.17433989012923,100
"onwind",41,1,4.41074415169476,0.562530160347485,12.7536338767539
"onwind",42,1,3.51308947541273,0.425101971127399,12.1005164856342
"onwind",43,1,2.21125061878558,2.21125061878558,100
"onwind",44,1,4.86864573253142,0.390577528895035,8.02230333345607
"onwind",45,1,6.04681573766521,0.136299523213336,2.25407105370079
"onwind",46,1,6.09431110738807,0.332956494140589,5.46339837716767
"onwind",47,1,1.76172724403388,0.0750329824602644,4.25905784873139
"onwind",48,1,3.36747384421833,0.148420370109133,4.40746912894241
"onwind",49,1,1.78680040124817,0.358658826618753,20.0726855875011
"onwind",50,1,1.44192789357858,0.40590627537669,28.1502478164363
"solar",1,36,6643.47086046369,1041.83820567971,15.6821370569991
"solar",2,12,2435.65350187594,104.785470811391,4.30215015110669
"solar",3,7,1728.03771441675,21.2879347340006,1.23191378037636
"solar",4,6,1314.19494514718,49.1376105959711,3.73898946860339
"solar",5,1,39.3341118979489,0.00485748258187936,0.0123492875458379
