source,scenario,country,year,twh
demand_workbook,GA,LU,2050,14.186780937333458
demand_workbook,GA,LV,2050,8.015981705103606
demand_workbook,GA,NL,2050,215.94881662465087
demand_workbook,GA,PL,2050,204.08395568667996
demand_workbook,GA,PT,2050,65.51543339746645
demand_workbook,GA,RO,2050,69.9969416138175
demand_workbook,GA,SE,2050,190.41406927391412
demand_workbook,GA,SI,2050,15.851166310344722
demand_workbook,GA,SK,2050,36.36151545065739
mm_output,NT,AL,2030,9.027231620999984
mm_output,NT,AT,2030,89.59671178
mm_output,NT,BA,2030,12.064833361999966
mm_output,NT,BE,2030,115.3768915089997
mm_output,NT,BG,2030,36.73361314099994
mm_output,NT,CH,2030,64.78607307799997
mm_output,NT,CZ,2030,81.52070909300016
mm_output,NT,DE,2030,714.0844292739985
mm_output,NT,DK,2030,45.81048592500009
mm_output,NT,EE,2030,9.91676333100001
mm_output,NT,ES,2030,269.4135725719997
mm_output,NT,FI,2030,111.03198991900057
mm_output,NT,FR,2030,524.489237
mm_output,NT,GR,2030,65.12472516000005
mm_output,NT,HR,2030,17.97887985499996
mm_output,NT,HU,2030,65.75170544300009
mm_output,NT,IE,2030,45.10828090499997
mm_output,NT,IT,2030,359.1378628529993
mm_output,NT,LT,2030,17.199078007999937
mm_output,NT,LU,2030,10.33242977499996
mm_output,NT,LV,2030,8.688674716000012
mm_output,NT,MD,2030,6.347270578000009
mm_output,NT,ME,2030,4.539434631000022
mm_output,NT,MK,2030,9.593000301000028
mm_output,NT,NL,2030,157.043010043
mm_output,NT,NO,2030,177.8632169709999
mm_output,NT,PL,2030,188.89833405500036
mm_output,NT,PT,2030,55.66334223799994
mm_output,NT,RO,2030,62.493017233000124
mm_output,NT,RS,2030,49.093533183999995
mm_output,NT,SE,2030,152.52318276499977
mm_output,NT,SI,2030,18.02694206700003
mm_output,NT,SK,2030,32.13564846100001
mm_output,NT,UA,2030,151.31261480700113
mm_output,NT,GB,2030,345.0984836530012
mm_output,NT,AL,2040,10.902501872000029
mm_output,NT,AT,2040,131.86983223599984
mm_output,NT,BA,2040,13.061927947000024
mm_output,NT,BE,2040,142.39078226600043
mm_output,NT,BG,2040,40.44383821399996
mm_output,NT,CH,2040,72.07723855600001
mm_output,NT,CZ,2040,97.69261367900012
mm_output,NT,DE,2040,939.6409953160022
mm_output,NT,DK,2040,58.29757183999976
mm_output,NT,EE,2040,12.619649212000088
mm_output,NT,ES,2040,299.5953962099984
mm_output,NT,FI,2040,126.94820736500017
mm_output,NT,FR,2040,620.912676
mm_output,NT,GR,2040,75.99301926600013
mm_output,NT,HR,2040,20.076415852000057
mm_output,NT,HU,2040,71.88839475099994
mm_output,NT,IE,2040,68.20112993000016
mm_output,NT,IT,2040,391.84881568900073
mm_output,NT,LT,2040,19.424233973000042
mm_output,NT,LU,2040,10.149400767000024
mm_output,NT,LV,2040,8.688674716000012
mm_output,NT,MD,2040,6.347270578000009
mm_output,NT,ME,2040,5.533543541000018
mm_output,NT,MK,2040,11.874725733000018
mm_output,NT,NL,2040,230.4963195770018
mm_output,NT,NO,2040,179.47967886499973
mm_output,NT,PL,2040,223.37518963000105
mm_output,NT,PT,2040,59.82202908399998
mm_output,NT,RO,2040,68.02472600899982
mm_output,NT,RS,2040,51.04266771700003
mm_output,NT,SE,2040,172.5232924490002
mm_output,NT,SI,2040,23.006760347999986
mm_output,NT,SK,2040,36.84695330699989
mm_output,NT,UA,2040,151.31261480700113
mm_output,NT,GB,2040,548.4589273519994
